,alignment,condition,accuracy,sub,age,gender
98,misaligned,same,1.0,5SAMNS,5.589041095890411,m
99,misaligned,same,1.0,C57ASP,6.904109589041096,m
100,misaligned,same,1.0,LA6RF5,5.260273972602739,m
101,misaligned,same,0.8181818181818182,42cZAM,6.657534246575342,f
102,misaligned,same,0.8333333333333334,TLLBVC,6.986301369863014,f
103,misaligned,same,0.5833333333333334,RNcVC3,4.684931506849315,f
104,misaligned,same,0.5833333333333334,2G2AL4,4.3561643835616435,m
105,misaligned,same,1.0,X37SMJ,5.917808219178082,f
106,misaligned,same,0.6,G277c4,4.109589041095891,m
107,misaligned,same,0.9090909090909091,Uc5HAY,6.2465753424657535,f
108,misaligned,same,0.9090909090909091,dHWQWK,5.7534246575342465,f
109,misaligned,same,0.9166666666666666,46QP6X,4.684931506849315,f
110,misaligned,same,0.36363636363636365,PD62cC,4.191780821917808,f
111,misaligned,same,1.0,RKQERS,4.109589041095891,m
112,misaligned,same,0.9166666666666666,QYYW46,5.342465753424658,f
113,misaligned,same,0.7272727272727273,CdBSPP,4.109589041095891,f
114,misaligned,same,0.9166666666666666,F4LDT2,5.260273972602739,m
115,misaligned,same,1.0,c2JcAQ,4.931506849315069,m
116,misaligned,same,0.9,34RM3G,6.575342465753424,m
117,misaligned,same,0.08333333333333333,FKJTLd,4.191780821917808,m
118,misaligned,same,0.8181818181818182,MX7YEJ,6.575342465753424,m
119,misaligned,same,1.0,XUS5CL,4.109589041095891,f
120,misaligned,same,0.7272727272727273,DH27SD,6.0,m
121,misaligned,same,1.0,KKY3TT,5.342465753424658,f
122,misaligned,same,1.0,QE5J2H,5.424657534246576,m
123,misaligned,same,0.8181818181818182,WScYBT,5.7534246575342465,m
124,misaligned,same,1.0,VYHNXF,6.328767123287672,m
125,misaligned,same,1.0,RU4MYJ,4.438356164383562,m
126,misaligned,same,1.0,BNRGKZ,5.260273972602739,f
127,misaligned,same,0.9,RRA4CB,5.506849315068493,f
128,misaligned,same,0.6363636363636364,GYYNLD,4.3561643835616435,m
129,misaligned,same,0.9166666666666666,RNCZJc,6.739726027397261,m
130,misaligned,same,0.9166666666666666,RP2HDS,6.904109589041096,f
131,misaligned,same,0.8181818181818182,EHHRXd,4.767123287671233,m
132,misaligned,same,1.0,NTYN3N,5.095890410958904,f
133,aligned,same,0.8181818181818182,UX6XX6,4.931506849315069,m
134,aligned,same,0.8181818181818182,ZFEcFW,4.191780821917808,f
135,aligned,same,0.9166666666666666,FMNR4U,4.602739726027397,f
136,aligned,same,0.8888888888888888,QWFWAQ,6.904109589041096,f
137,aligned,same,0.6,PHM3KT,5.835616438356165,f
138,aligned,same,0.75,TMBc4N,4.931506849315069,m
139,aligned,same,0.9090909090909091,NRHSFK,5.506849315068493,m
140,aligned,same,1.0,BK45G2,4.767123287671233,m
141,aligned,same,1.0,ADUJcY,6.082191780821918,m
142,aligned,same,0.9166666666666666,YdTJH7,5.424657534246576,f
143,aligned,same,0.5,TKA647,4.109589041095891,m
144,aligned,same,0.8333333333333334,JLCN7S,5.506849315068493,f
145,aligned,same,0.7272727272727273,3R2CUC,5.835616438356165,f
146,aligned,same,0.25,LcYFQM,5.506849315068493,f
147,aligned,same,0.4166666666666667,BUR2PY,4.191780821917808,m
148,aligned,same,0.75,EV5Z3R,5.671232876712328,m
149,aligned,same,0.45454545454545453,WKCNHd,5.260273972602739,m
150,aligned,same,0.75,REMYW7,4.273972602739726,f
151,aligned,same,0.9090909090909091,CVLEAG,4.8493150684931505,f
152,aligned,same,0.5454545454545454,W7Y6C5,5.424657534246576,m
153,aligned,same,0.6363636363636364,KEEN74,5.589041095890411,m
154,aligned,same,0.6666666666666666,ACXXZ7,4.767123287671233,m
155,aligned,same,1.0,VLB4L4,5.671232876712328,f
156,aligned,same,0.9090909090909091,EQXFYM,5.095890410958904,m
157,aligned,same,0.9,Z7CAJd,6.082191780821918,f
158,aligned,same,0.45454545454545453,7P6WGH,5.917808219178082,f
159,aligned,same,0.36363636363636365,GC34M3,4.602739726027397,f
160,aligned,same,0.75,5QcHDS,4.3561643835616435,f
161,aligned,same,0.36363636363636365,4ST2Rd,4.684931506849315,m
162,aligned,same,0.75,QLJ6L2,4.273972602739726,f
163,aligned,same,0.0,VL6G4F,4.602739726027397,m
164,aligned,same,0.75,CQNccL,5.013698630136986,f
165,aligned,same,0.6,VARPcD,4.767123287671233,f
166,aligned,same,0.8333333333333334,A2VYCT,5.342465753424658,f
167,aligned,same,0.75,cFUURR,6.410958904109589,f
168,aligned,same,1.0,NESJTV,5.671232876712328,m
169,aligned,same,0.75,PKKXND,5.671232876712328,m
170,aligned,same,0.7272727272727273,5A3dF5,6.493150684931507,f
171,aligned,same,0.08333333333333333,QEENND,6.164383561643835,m
172,aligned,same,0.3333333333333333,RL5c27,5.095890410958904,o
173,aligned,same,0.5,6FBUKN,4.931506849315069,f
174,aligned,same,0.7,NdcEQS,6.410958904109589,f
175,aligned,same,1.0,ZFCGPB,6.986301369863014,f
176,aligned,same,0.7272727272727273,HZD5P2,6.739726027397261,m
177,aligned,same,0.5833333333333334,LV7BXL,6.410958904109589,m
178,aligned,same,0.8333333333333334,FQcUQT,5.506849315068493,m
179,aligned,same,0.6363636363636364,VXA7XE,5.917808219178082,m
180,aligned,same,0.5833333333333334,2H7PLP,5.260273972602739,m
181,aligned,same,0.9090909090909091,TSZUY4,5.506849315068493,m
182,aligned,same,0.7272727272727273,JMTYZH,5.095890410958904,m
183,aligned,same,0.5833333333333334,BcD7QG,4.027397260273973,m
184,aligned,same,0.9,6RPUM7,4.273972602739726,m
185,aligned,same,0.45454545454545453,cdPUJD,5.589041095890411,m
186,aligned,same,0.08333333333333333,TQ5R7T,5.506849315068493,f
187,aligned,same,1.0,4LVKMA,6.082191780821918,m
188,aligned,same,1.0,cHT4YU,6.2465753424657535,f
189,aligned,same,1.0,JY6LQ2,6.164383561643835,f
190,aligned,same,0.8181818181818182,U672B2,5.835616438356165,f
191,aligned,same,0.9166666666666666,WF4NVS,4.684931506849315,m
192,aligned,same,0.7272727272727273,FWYC7C,5.424657534246576,f
193,aligned,same,1.0,PB3BCS,4.767123287671233,f
194,aligned,same,0.9166666666666666,TNSEWV,4.767123287671233,m
195,aligned,same,0.25,V72TLK,6.739726027397261,f
196,aligned,same,0.4166666666666667,XV65MW,6.164383561643835,f
197,aligned,same,0.9090909090909091,WWYcKQ,5.424657534246576,f
198,aligned,same,0.25,ZAMEDX,4.191780821917808,m
199,aligned,same,1.0,QPRR32,6.904109589041096,f
200,aligned,same,0.8333333333333334,3W34dW,6.0,f
201,aligned,same,0.36363636363636365,PHFCV3,5.342465753424658,f
202,aligned,same,0.09090909090909091,VFFF4H,4.191780821917808,m
203,aligned,same,0.5454545454545454,CJdTB6,4.3561643835616435,m
204,aligned,same,0.6666666666666666,TV373M,6.657534246575342,m
205,aligned,same,0.6363636363636364,CRVCXD,6.986301369863014,m
206,aligned,same,1.0,YPdQNV,4.109589041095891,f
