,alignment,condition,time_screen,sub,age,gender
94,misaligned,same,3.0181818181818176,ZRHCPK,4.273972602739726,m
95,misaligned,same,3.764545454545455,dcXZY4,6.904109589041096,m
96,misaligned,same,2.7545454545454544,7BKKNM,4.3561643835616435,f
97,misaligned,same,5.127,MR5U5N,4.3561643835616435,m
98,misaligned,same,1.2272727272727273,5SAMNS,5.589041095890411,m
99,misaligned,same,5.675,C57ASP,6.904109589041096,m
100,misaligned,same,3.9709090909090907,LA6RF5,5.260273972602739,m
101,misaligned,same,1.4190909090909092,42cZAM,6.657534246575342,f
102,misaligned,same,3.9691666666666663,TLLBVC,6.986301369863014,f
103,misaligned,same,1.8316666666666668,RNcVC3,4.684931506849315,f
104,misaligned,same,2.783333333333333,2G2AL4,4.3561643835616435,m
105,misaligned,same,9.291818181818183,X37SMJ,5.917808219178082,f
106,misaligned,same,8.008999999999999,G277c4,4.109589041095891,m
107,misaligned,same,3.6363636363636362,Uc5HAY,6.2465753424657535,f
108,misaligned,same,2.6181818181818177,dHWQWK,5.7534246575342465,f
109,misaligned,same,5.534166666666667,46QP6X,4.684931506849315,f
110,misaligned,same,2.59,PD62cC,4.191780821917808,f
111,misaligned,same,2.3750000000000004,RKQERS,4.109589041095891,m
112,misaligned,same,2.9166666666666665,QYYW46,5.342465753424658,f
113,misaligned,same,4.372727272727273,CdBSPP,4.109589041095891,f
114,misaligned,same,6.758333333333333,F4LDT2,5.260273972602739,m
115,misaligned,same,0.8908333333333331,c2JcAQ,4.931506849315069,m
116,misaligned,same,1.5799999999999996,34RM3G,6.575342465753424,m
117,misaligned,same,2.5916666666666663,FKJTLd,4.191780821917808,m
118,misaligned,same,3.399090909090909,MX7YEJ,6.575342465753424,m
119,misaligned,same,1.8654545454545455,XUS5CL,4.109589041095891,f
120,misaligned,same,3.9909090909090907,DH27SD,6.0,m
121,misaligned,same,1.7181818181818178,KKY3TT,5.342465753424658,f
122,misaligned,same,3.3463636363636367,QE5J2H,5.424657534246576,m
123,misaligned,same,3.7181818181818187,WScYBT,5.7534246575342465,m
124,misaligned,same,1.425,VYHNXF,6.328767123287672,m
125,misaligned,same,2.927272727272727,RU4MYJ,4.438356164383562,m
126,misaligned,same,3.625,BNRGKZ,5.260273972602739,f
127,misaligned,same,2.132,RRA4CB,5.506849315068493,f
128,misaligned,same,2.4909090909090916,GYYNLD,4.3561643835616435,m
129,misaligned,same,2.7750000000000004,RNCZJc,6.739726027397261,m
130,misaligned,same,4.675833333333332,RP2HDS,6.904109589041096,f
131,misaligned,same,4.417272727272727,EHHRXd,4.767123287671233,m
132,misaligned,same,0.6727272727272727,NTYN3N,5.095890410958904,f
133,aligned,same,3.7181818181818183,UX6XX6,4.931506849315069,m
134,aligned,same,2.5436363636363635,ZFEcFW,4.191780821917808,f
135,aligned,same,1.6916666666666667,FMNR4U,4.602739726027397,f
136,aligned,same,0.5888888888888888,QWFWAQ,6.904109589041096,f
137,aligned,same,7.7700000000000005,PHM3KT,5.835616438356165,f
138,aligned,same,6.7749999999999995,TMBc4N,4.931506849315069,m
139,aligned,same,2.3454545454545457,NRHSFK,5.506849315068493,m
140,aligned,same,2.588888888888889,BK45G2,4.767123287671233,m
141,aligned,same,2.961,ADUJcY,6.082191780821918,m
142,aligned,same,4.266666666666667,YdTJH7,5.424657534246576,f
143,aligned,same,4.841666666666668,TKA647,4.109589041095891,m
144,aligned,same,2.1574999999999998,JLCN7S,5.506849315068493,f
145,aligned,same,5.381818181818182,3R2CUC,5.835616438356165,f
146,aligned,same,3.508333333333333,LcYFQM,5.506849315068493,f
147,aligned,same,5.95,BUR2PY,4.191780821917808,m
148,aligned,same,4.584166666666667,EV5Z3R,5.671232876712328,m
149,aligned,same,2.463636363636364,WKCNHd,5.260273972602739,m
150,aligned,same,5.085,REMYW7,4.273972602739726,f
151,aligned,same,5.8618181818181805,CVLEAG,4.8493150684931505,f
152,aligned,same,3.5454545454545454,W7Y6C5,5.424657534246576,m
153,aligned,same,14.718181818181817,KEEN74,5.589041095890411,m
154,aligned,same,6.766666666666666,ACXXZ7,4.767123287671233,m
155,aligned,same,1.7999999999999998,VLB4L4,5.671232876712328,f
156,aligned,same,2.881818181818182,EQXFYM,5.095890410958904,m
157,aligned,same,4.353,Z7CAJd,6.082191780821918,f
158,aligned,same,1.763636363636364,7P6WGH,5.917808219178082,f
159,aligned,same,3.401818181818182,GC34M3,4.602739726027397,f
160,aligned,same,4.916666666666667,5QcHDS,4.3561643835616435,f
161,aligned,same,2.4000000000000004,4ST2Rd,4.684931506849315,m
162,aligned,same,7.784166666666665,QLJ6L2,4.273972602739726,f
163,aligned,same,1.4666666666666668,VL6G4F,4.602739726027397,m
164,aligned,same,2.4,CQNccL,5.013698630136986,f
165,aligned,same,6.65,VARPcD,4.767123287671233,f
166,aligned,same,6.483333333333333,A2VYCT,5.342465753424658,f
167,aligned,same,3.7000000000000006,cFUURR,6.410958904109589,f
168,aligned,same,3.5190909090909086,NESJTV,5.671232876712328,m
169,aligned,same,2.908333333333333,PKKXND,5.671232876712328,m
170,aligned,same,3.7190909090909092,5A3dF5,6.493150684931507,f
171,aligned,same,6.011666666666667,QEENND,6.164383561643835,m
172,aligned,same,12.924999999999999,RL5c27,5.095890410958904,o
173,aligned,same,4.840000000000001,6FBUKN,4.931506849315069,f
174,aligned,same,4.840000000000001,NdcEQS,6.410958904109589,f
175,aligned,same,3.209090909090909,ZFCGPB,6.986301369863014,f
176,aligned,same,1.3090909090909089,HZD5P2,6.739726027397261,m
177,aligned,same,3.1166666666666667,LV7BXL,6.410958904109589,m
178,aligned,same,2.25,FQcUQT,5.506849315068493,m
179,aligned,same,1.6,VXA7XE,5.917808219178082,m
180,aligned,same,11.815833333333332,2H7PLP,5.260273972602739,m
181,aligned,same,3.563636363636363,TSZUY4,5.506849315068493,m
182,aligned,same,2.6545454545454548,JMTYZH,5.095890410958904,m
183,aligned,same,1.2416666666666667,BcD7QG,4.027397260273973,m
184,aligned,same,6.33,6RPUM7,4.273972602739726,m
185,aligned,same,2.730909090909091,cdPUJD,5.589041095890411,m
186,aligned,same,5.291666666666666,TQ5R7T,5.506849315068493,f
187,aligned,same,2.9333333333333336,4LVKMA,6.082191780821918,m
188,aligned,same,6.6000000000000005,cHT4YU,6.2465753424657535,f
189,aligned,same,2.4916666666666667,JY6LQ2,6.164383561643835,f
190,aligned,same,5.481818181818182,U672B2,5.835616438356165,f
191,aligned,same,1.6266666666666667,WF4NVS,4.684931506849315,m
192,aligned,same,3.8272727272727267,FWYC7C,5.424657534246576,f
193,aligned,same,5.241666666666666,PB3BCS,4.767123287671233,f
194,aligned,same,2.4666666666666663,TNSEWV,4.767123287671233,m
195,aligned,same,4.764166666666665,V72TLK,6.739726027397261,f
196,aligned,same,2.7675,XV65MW,6.164383561643835,f
197,aligned,same,1.6554545454545455,WWYcKQ,5.424657534246576,f
198,aligned,same,8.200000000000001,ZAMEDX,4.191780821917808,m
199,aligned,same,3.7827272727272727,QPRR32,6.904109589041096,f
200,aligned,same,2.9008333333333334,3W34dW,6.0,f
201,aligned,same,2.9818181818181824,PHFCV3,5.342465753424658,f
202,aligned,same,1.6454545454545455,VFFF4H,4.191780821917808,m
203,aligned,same,2.5818181818181816,CJdTB6,4.3561643835616435,m
204,aligned,same,1.908333333333333,TV373M,6.657534246575342,m
205,aligned,same,4.836363636363637,CRVCXD,6.986301369863014,m
206,aligned,same,2.058333333333333,YPdQNV,4.109589041095891,f
207,aligned,same,2.555454545454546,7cNKKD,5.342465753424658,m
208,aligned,same,2.8636363636363633,CZGRED,5.506849315068493,m
209,aligned,same,3.290909090909091,663UJX,6.986301369863014,f
